name,brand,image_url,gender,notes,emotion_tags,season_tags,time_tags,brand_tag,mood,activity,weather
Burberry Body Intense,BURBERRY,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/1151219_fpx.tif,women,"amber, cashmere wood, iris, musk, rose, sandalwood, vanille",sensual,fall,night,BURBERRY,romantic,date,cold
Sauvage,Dior,https://www.dior.com/dw/image/v2/BGXS_PRD/on/demandware.static/-/Sites-master_dior/en_US/dw8c66b0c3/Y0998004/Y0998004_C099600455_E02_GHC.jpg?sw=800,men,"ambroxan, ceder, elemi, geranium, labdanum, lavender, sichuan pepper",energetic,spring,night,Dior,fresh,casual,any
Roses Vanille,Mancera,http://manceraparfums.us/cdn/shop/products/roses-vanille_1_1200x1200.jpg?v=1679326857,women,"cedar, musk, rose, sugar, vanilla",sensual,fall,night,Mancera,romantic,date,cold
Roses Vanille,Mancera,http://manceraparfums.us/cdn/shop/products/roses-vanille_1_1200x1200.jpg?v=1679326857,women,"cedar, musk, rose, sugar, vanilla",sensual,fall,night,Mancera,romantic,date,cold
Desire,Dunhill,https://i5.walmartimages.com/seo/Alfred-Dunhill-Desire-Red-Eau-de-Toilette-Spray-3-4-Oz_2632dee0-0859-4c5f-8474-cbe68ce9a22a_1.138a18f78f7eeaa6b61f5b327b340d85.jpeg,men,"musk, patchouli, rose, teak wood, vanilla",energetic,spring,day,Dunhill,fresh,date,cold
Cabotine,Gres,https://m.media-amazon.com/images/I/61aFUijZaKL.jpg,women,"cedar, cybet, freesia, ginger lily, heliotrope, hyacinth, musk and amber, rose, tonka bean, tuberose, vanilla, violet and iris, ylangylang",romantic,fall,night,Gres,romantic,date,cold
Monsieur Oud,Alina Corel,https://m.media-amazon.com/images/I/61hg3pNfe+L.jpg,unisex,"cedar, musk, rose, water",sensual,winter,night,Alina Corel,romantic,date,any
Si Passione EDP For Wo,GIORGIO ARMANI,https://i5.walmartimages.com/seo/Si-Passione-by-Giorgio-Armani-for-Women-5-oz-EDP-Spray_d62770d6-16a4-4e4a-9ff4-132bfeb499b7.a78de57d0bc40d6dd9d6150fa8d9deae.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,women,"cedar, heliotrope, jasmine, patchouli, pineapple, rose, vanilla",romantic,fall,night,GIORGIO ARMANI,romantic,work,cold
Quatre,BOUCHERON,https://i5.walmartimages.com/seo/Boucheron-Quatre-Eau-de-Parfum-Perfume-for-Women-3-3-Oz_c2b82830-7b6b-4919-af94-4c3d2586a855.8fda5defc012b14c66692803f01ea91a.jpeg,women,"accords of wild strawberry, cashmere, cedar, golden woods, musk, peach and apple, rose, sambac jasmine, vanilla and caramel",romantic,fall,night,BOUCHERON,romantic,date,cold
Sauvage,Dior,https://www.dior.com/dw/image/v2/BGXS_PRD/on/demandware.static/-/Sites-master_dior/en_US/dw8c66b0c3/Y0998004/Y0998004_C099600455_E02_GHC.jpg?sw=800,men,"ambroxan, cedar, elemi, geranium, labdanum, lavender, patchouli, pink pepper, sichuan pepper, vetiver",energetic,spring,night,Dior,fresh,work,any
